name,value
kursi,15
reģistrācija,10
rēķins,5
elektroniskie sakari,10
sakaru pakalpojumi,5
pārvaldīšanas pakalpojums,5
iemaksa mājas uzturēšanas fondā,10
sētnieks,15
vides pakalpojumi,10
atkritumi,5
ūdens un kanalizācija,10
koplietošanas elektrība,10
elektorenerģija,10
maksa par elektornerģijas sadalīšanu,10
maksa par pieslēguma nodrošināšanu,5
obligātā iepirkuma komponente (atjaunojamie),5
obligātā iepirkuma komponente (koģenerācija),5
aldaris gaišais alus,10
way huge ring worm modulator,10
vanna,5
sifons,10
brauciena maksa,15
degviela,10
dīzeldegviela,10
automašīnu koplietošanas pakalpojumi,15
āmurs,5
milti,5
diagnostika,15
vakuuma elektromagnētiskais vārsts,10
vakuuma slauciå†a,15
darbs,10
elektroenerģija,5
elektroenerģijas papildpakalpojumi,15
elektroenerģijas pārvade un sadale,15
īres maksa,15
massage oil,15
bite 25 gb,10
bite skolēniem,10
bite neierobežots baltijā,15
mēneša maksa par nomaksas ierīci,10
cena,5
nodokļi,10
degvielas piemaksa,10
biļetes izdošanas pakalpojums,10
kompleksais pieslēgums,10
siltumenerģijas skaitītāja atkārtotā verifikācija,15
baterijas nomaiå†a,10
mēneša maksa par zvaniem un īsziå†ām,15
zvani,15
īsziå†as,5
internets,10
multiziå†as,10
tv,15
elektrība,10
sadzīves atkritumu izvešana,10
sadzīves konteinera noma,5
sadzīves atkritumu izvešana,5
sadzīves konteinera noma,10
sadzīves atkritumu izvešana,15
sadzīves konteinera noma,5
rīgas melnais balzams,5
dabasgāze,10
mobilā telefona abonements,15
ekoloģiskais sejas krēms,10
šokolāde,10
spriegotājsvira,5
octa apdrošināšanu transportlīdzeklim,15
nešķirotu sadzīves atkritumu izvešana,15
projektēšanas pakalpojumi,10
rūsas pārveidotājs,5
cilindra komplekts,10
transporta pakalpojumi,5
kancelejas preces,5
double caramel billionaire,15
wolt kurjerpartnera atlīdzība,5
santehniskie  darbi,10
lifta apkalpošana,15
apkure,5
ūdens uzsildīšana,5
karstā ūdens cirkulācija,5
malka,10
vannas bumbas,5
trepes,15
